name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,F,All,5425,12/6/2014,97,0,0
Beijing,All,20-29,7633,12/6/2014,97,0,0
Beijing,All,30-39,6364,12/6/2014,97,0,0
Beijing,All,40-49,5532,12/6/2014,97,0,0
Beijing,All,50-59,8734,12/6/2014,97,0,0
Beijing,All,60+,4202,12/6/2014,97,0,0
Beijing,All,All,6633,12/6/2014,97,0,0
Beijing,M,20-29,7789,13/06/2014,90,0.94,0
Beijing,M,30-39,6077,13/06/2014,90,0.94,0
Beijing,M,40-49,4824,13/06/2014,90,0.94,0
Beijing,M,50-59,6625,13/06/2014,90,0.94,0
Beijing,M,All,6233,13/06/2014,90,0.94,0
Beijing,F,20-29,5885,13/06/2014,90,0.94,0
Beijing,F,30-39,5061,13/06/2014,90,0.94,0
Beijing,F,40-49,5049,13/06/2014,90,0.94,0
Beijing,F,50-59,7076,13/06/2014,90,0.94,0
Beijing,F,60+,4703,13/06/2014,90,0.94,0
Beijing,F,All,5310,13/06/2014,90,0.94,0
Beijing,All,20-29,7027,13/06/2014,90,0.94,0
Beijing,All,30-39,5804,13/06/2014,90,0.94,0
Beijing,All,40-49,4918,13/06/2014,90,0.94,0
Beijing,All,50-59,6678,13/06/2014,90,0.94,0
Beijing,All,60+,4703,13/06/2014,90,0.94,0
Beijing,All,All,5929,13/06/2014,90,0.94,0
Beijing,M,20-29,9396,14/06/2014,90,0,0
Beijing,M,30-39,7505,14/06/2014,90,0,0
Beijing,M,40-49,5756,14/06/2014,90,0,0
Beijing,M,50-59,11082,14/06/2014,90,0,0
Beijing,M,All,8002,14/06/2014,90,0,0
Beijing,F,20-29,7063,14/06/2014,90,0,0
Beijing,F,30-39,4918,14/06/2014,90,0,0
Beijing,F,40-49,5208,14/06/2014,90,0,0
Beijing,F,50-59,9079,14/06/2014,90,0,0
Beijing,F,60+,7275,14/06/2014,90,0,0
Beijing,F,All,5805,14/06/2014,90,0,0
Beijing,All,20-29,8477,14/06/2014,90,0,0
Beijing,All,30-39,6833,14/06/2014,90,0,0
Beijing,All,40-49,5506,14/06/2014,90,0,0
Beijing,All,50-59,10832,14/06/2014,90,0,0
Beijing,All,60+,7275,14/06/2014,90,0,0
Beijing,All,All,7279,14/06/2014,90,0,0
Beijing,M,20-29,7797,15/06/2014,90,0.23999999,0
Beijing,M,30-39,5634,15/06/2014,90,0.23999999,0
Beijing,M,40-49,5566,15/06/2014,90,0.23999999,0
Beijing,M,50-59,9039,15/06/2014,90,0.23999999,0
Beijing,M,All,6451,15/06/2014,90,0.23999999,0
Beijing,F,20-29,4686,15/06/2014,90,0.23999999,0
Beijing,F,30-39,4384,15/06/2014,90,0.23999999,0
Beijing,F,40-49,6276,15/06/2014,90,0.23999999,0
Beijing,F,50-59,15136,15/06/2014,90,0.23999999,0
Beijing,F,60+,6158,15/06/2014,90,0.23999999,0
Beijing,F,All,5488,15/06/2014,90,0.23999999,0
Beijing,All,20-29,6533,15/06/2014,90,0.23999999,0
Beijing,All,30-39,5313,15/06/2014,90,0.23999999,0
Beijing,All,40-49,5841,15/06/2014,90,0.23999999,0
Beijing,All,50-59,9801,15/06/2014,90,0.23999999,0
Beijing,All,60+,6158,15/06/2014,90,0.23999999,0
Beijing,All,All,6145,15/06/2014,90,0.23999999,0
Beijing,M,20-29,4906,16/06/2014,86,0.079999998,0
Beijing,M,30-39,6541,16/06/2014,86,0.079999998,0
Beijing,M,40-49,6072,16/06/2014,86,0.079999998,0
Beijing,M,50-59,7440,16/06/2014,86,0.079999998,0
Beijing,M,All,6330,16/06/2014,86,0.079999998,0
Beijing,F,20-29,4952,16/06/2014,86,0.079999998,0
Beijing,F,30-39,3810,16/06/2014,86,0.079999998,0
Beijing,F,40-49,5274,16/06/2014,86,0.079999998,0
Beijing,F,50-59,8585,16/06/2014,86,0.079999998,0
Beijing,F,60+,5629,16/06/2014,86,0.079999998,0
Beijing,F,All,4749,16/06/2014,86,0.079999998,0
Beijing,All,20-29,4926,16/06/2014,86,0.079999998,0
Beijing,All,30-39,5790,16/06/2014,86,0.079999998,0
Beijing,All,40-49,5737,16/06/2014,86,0.079999998,0
Beijing,All,50-59,7575,16/06/2014,86,0.079999998,0
Beijing,All,60+,5629,16/06/2014,86,0.079999998,0
Beijing,All,All,5803,16/06/2014,86,0.079999998,0
Beijing,M,20-29,8185,17/06/2014,81,1.5,0
Beijing,M,30-39,6084,17/06/2014,81,1.5,0
Beijing,M,40-49,4915,17/06/2014,81,1.5,0
Beijing,M,50-59,7368,17/06/2014,81,1.5,0
Beijing,M,All,6335,17/06/2014,81,1.5,0
Beijing,F,20-29,4026,17/06/2014,81,1.5,0
Beijing,F,30-39,4945,17/06/2014,81,1.5,0
Beijing,F,40-49,6328,17/06/2014,81,1.5,0
Beijing,F,50-59,8544,17/06/2014,81,1.5,0
Beijing,F,60+,7883,17/06/2014,81,1.5,0
Beijing,F,All,5297,17/06/2014,81,1.5,0
Beijing,All,20-29,6403,17/06/2014,81,1.5,0
Beijing,All,30-39,5768,17/06/2014,81,1.5,0
Beijing,All,40-49,5462,17/06/2014,81,1.5,0
Beijing,All,50-59,7458,17/06/2014,81,1.5,0
Beijing,All,60+,7883,17/06/2014,81,1.5,0
Beijing,All,All,6000,17/06/2014,81,1.5,0
Beijing,M,20-29,9122,18/06/2014,88,0.079999998,0
Beijing,M,30-39,7271,18/06/2014,88,0.079999998,0
Beijing,M,40-49,6924,18/06/2014,88,0.079999998,0
Beijing,M,50-59,8508,18/06/2014,88,0.079999998,0
Beijing,M,All,7601,18/06/2014,88,0.079999998,0
Beijing,F,20-29,4314,18/06/2014,88,0.079999998,0
Beijing,F,30-39,4848,18/06/2014,88,0.079999998,0
Beijing,F,40-49,6689,18/06/2014,88,0.079999998,0
